LayerID NodeID NodeID EdgeWeight
4 1 77 1
5 1 77 1
6 1 106 1
6 1 219 1
4 1 321 1
5 1 321 1
1 3 224 1
1 3 258 1
4 4 5 1
9 4 6 1
4 4 160 1
9 4 160 1
9 4 301 1
4 5 6 1
4 6 215 1
9 6 221 1
4 6 345 1
3 7 8 1
7 7 8 2
3 7 295 1
4 7 295 1
5 8 9 1
2 8 34 1
3 8 39 1
5 8 39 1
7 8 39 1
2 8 58 1
5 9 10 1
4 9 10 1
4 9 295 1
4 10 348 1
5 10 348 1
9 13 14 1
9 13 354 1
9 14 300 1
7 15 16 1
7 16 117 1
7 16 122 1
8 19 20 1
8 19 181 1
8 20 39 1
8 21 22 1
8 21 169 1
8 22 262 1
9 23 24 1
9 23 73 1
9 24 311 1
9 25 26 1
9 25 95 1
10 26 97 1
9 26 191 1
10 26 192 1
6 27 28 1
3 27 29 1
5 27 29 1
3 27 30 1
5 27 30 1
1 27 31 1
1 27 175 1
7 27 187 1
6 27 350 1
6 28 67 1
2 28 68 1
2 28 279 1
1 29 49 1
1 29 315 1
3 30 184 1
5 30 184 1
7 30 184 1
1 31 68 1
8 32 33 1
8 32 127 1
8 33 358 1
8 34 35 1
8 34 39 1
2 34 119 1
11 34 180 1
6 35 56 1
8 35 69 1
6 35 343 1
3 37 38 1
5 37 38 1
7 37 38 1
3 37 39 1
5 37 39 1
7 37 39 1
3 38 181 1
5 38 181 1
7 38 181 1
4 40 41 1
4 40 170 1
5 40 170 1
4 41 52 1
2 42 43 1
2 42 199 1
2 43 185 1
9 44 45 1
4 44 46 1
9 44 221 1
4 44 221 1
4 45 46 1
9 45 161 1
4 45 161 1
4 45 162 1
4 45 196 1
4 45 261 1
3 47 48 1
4 47 48 1
3 47 49 1
4 47 49 1
3 48 162 1
4 48 162 1
2 48 246 1
2 48 310 1
1 49 174 1
1 49 292 1
3 49 313 1
3 49 314 1
5 49 314 1
4 52 53 1
4 53 147 1
8 54 55 1
8 54 201 1
8 55 99 1
6 56 57 1
6 57 102 1
2 58 59 1
4 59 76 1
5 59 76 1
2 59 219 1
4 59 348 1
5 59 348 1
3 60 61 1
4 60 61 1
3 60 179 1
4 60 179 1
3 61 109 1
4 61 109 1
10 62 63 1
10 62 336 1
10 67 68 1
9 67 213 1
6 67 214 1
9 67 252 1
10 67 320 1
10 68 183 1
2 68 206 1
1 68 213 1
8 69 70 1
8 70 176 1
1 70 277 1
9 71 72 1
9 71 250 1
9 72 301 1
9 73 361 1
4 76 77 1
5 76 77 1
8 78 79 1
8 78 131 1
8 79 201 1
10 80 81 1
8 81 130 1
8 81 257 1
10 81 351 1
6 86 187 1
6 86 265 1
2 88 89 1
2 88 332 1
2 89 151 1
8 90 91 1
8 90 173 1
8 91 131 1
9 94 95 1
9 94 181 1
10 97 181 1
8 99 100 1
8 99 101 1
8 99 262 1
8 100 101 1
8 100 181 1
10 100 181 1
8 100 183 1
10 100 183 1
6 102 105 1
6 105 106 1
3 109 110 1
4 109 110 1
3 110 295 1
4 110 295 1
6 114 115 1
6 114 346 1
6 115 271 1
7 117 125 1
2 118 119 1
2 118 135 1
1 120 121 1
8 120 121 1
1 120 213 1
8 120 281 1
3 121 179 1
